shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
1,48912,47.239674,-1.571515
1,48921,47.239674,-1.571515
1,48922,47.239736,-1.577996
1,48931,47.239736,-1.577996
1,48932,47.239378,-1.585073
1,48941,47.239378,-1.585073
1,48942,47.237918,-1.586113
10,52021,47.215978,-1.542080
10,52022,47.215647,-1.546108
10,52031,47.215647,-1.546108
10,52032,47.213969,-1.549513
10,52041,47.213969,-1.549513
10,52042,47.212831,-1.552137
10,52051,47.212831,-1.552137
10,52052,47.214465,-1.555513
10,52061,47.214465,-1.555513
10,52062,47.216998,-1.556775
10,52071,47.216998,-1.556775
10,52072,47.218147,-1.557084
10,52081,47.218147,-1.557084
10,52082,47.219862,-1.555166
10,52091,47.219862,-1.555166
10,52092,47.221497,-1.555810
10,52101,47.221497,-1.555810
10,52102,47.222820,-1.556986
10,52111,47.222820,-1.556986
10,52112,47.225455,-1.559242
10,52121,47.225455,-1.559242
10,52122,47.227962,-1.561387
10,52131,47.227962,-1.561387
10,52132,47.230873,-1.563784
10,52141,47.230873,-1.563784
10,52142,47.232621,-1.565243
10,52151,47.232621,-1.565243
10,52152,47.235797,-1.567891
10,52161,47.235797,-1.567891
10,52162,47.237980,-1.569856
10,52171,47.237980,-1.569856
10,52172,47.239674,-1.571515
10,52181,47.239674,-1.571515
10,52182,47.240872,-1.572720
10,52191,47.240872,-1.572720
10,52192,47.244322,-1.575383
10,52201,47.244322,-1.575383
10,52202,47.248934,-1.577037
10,52211,47.248934,-1.577037
10,52212,47.250843,-1.576622
10,52221,47.250843,-1.576622
10,52222,47.252811,-1.576200
10,52231,47.252811,-1.576200
10,52232,47.254883,-1.576118
10,52241,47.254883,-1.576118
10,52242,47.257125,-1.575632
10,52251,47.257125,-1.575632
10,52252,47.260142,-1.574759
10,52261,47.260142,-1.574759
10,52262,47.261416,-1.574548
10,52271,47.261416,-1.574548
10,52272,47.264204,-1.576973
10,52281,47.264204,-1.576973
10,52282,47.263588,-1.579382
10,52291,47.263588,-1.579382
10,52292,47.261653,-1.584478
11,48091,47.245739,-1.615904
11,48092,47.245606,-1.608399
11,48101,47.245606,-1.608399
11,48102,47.247117,-1.603065
11,48111,47.247117,-1.603065
11,48112,47.247117,-1.603065
11,48121,47.249082,-1.597756
11,48122,47.249082,-1.597756
11,48131,47.249082,-1.597756
11,48132,47.245906,-1.593794
11,48141,47.245906,-1.593794
11,48142,47.243091,-1.591646
11,48151,47.243091,-1.591646
11,48152,47.240075,-1.591125
11,48161,47.240075,-1.591125
11,48162,47.240075,-1.591125
11,48171,47.237997,-1.586819
11,48172,47.237997,-1.586819
11,48181,47.237997,-1.586819
11,48182,47.234912,-1.582172
11,48191,47.234912,-1.582172
11,48192,47.232690,-1.577319
11,48201,47.232690,-1.577319
11,48202,47.232690,-1.577319
11,48211,47.229820,-1.572685
11,48212,47.229820,-1.572685
11,48221,47.229820,-1.572685
11,48222,47.227006,-1.569419
11,48231,47.227006,-1.569419
11,48232,47.224090,-1.565217
11,48241,47.224090,-1.565217
11,48242,47.224090,-1.565217
11,48251,47.221208,-1.562625
11,48252,47.221208,-1.562625
11,48261,47.221208,-1.562625
11,48262,47.218362,-1.560060
11,48271,47.218362,-1.560060
11,48272,47.218362,-1.560060
11,48281,47.217071,-1.558186
11,48282,47.217071,-1.558186
11,48291,47.217071,-1.558186
11,48292,47.217071,-1.558186
11,48301,47.214346,-1.555726
11,48302,47.214346,-1.555726
11,48311,47.214346,-1.555726
11,48312,47.214346,-1.555726
11,48321,47.211508,-1.552937
11,48322,47.211508,-1.552937
12,51731,47.261949,-1.584148
12,51732,47.263119,-1.580308
12,51741,47.263119,-1.580308
12,51742,47.264089,-1.576335
12,51751,47.264089,-1.576335
12,51752,47.261102,-1.574798
12,51761,47.261102,-1.574798
12,51762,47.259488,-1.575024
12,51771,47.259488,-1.575024
12,51772,47.257031,-1.575795
12,51781,47.257031,-1.575795
12,51782,47.254529,-1.576276
12,51791,47.254529,-1.576276
12,51792,47.252706,-1.576387
12,51801,47.252706,-1.576387
12,51802,47.250422,-1.576869
12,51811,47.250422,-1.576869
12,51812,47.248572,-1.577306
12,51821,47.248572,-1.577306
12,51822,47.244270,-1.575527
12,51831,47.244270,-1.575527
12,51832,47.241699,-1.573627
12,51841,47.241699,-1.573627
12,51842,47.239582,-1.571614
12,51851,47.239582,-1.571614
12,51852,47.238639,-1.570664
12,51861,47.238639,-1.570664
12,51862,47.236079,-1.568262
12,51871,47.236079,-1.568262
12,51872,47.232475,-1.565289
12,51881,47.232475,-1.565289
12,51882,47.229978,-1.563178
12,51891,47.229978,-1.563178
12,51892,47.228243,-1.561762
12,51901,47.228243,-1.561762
12,51902,47.225791,-1.559674
12,51911,47.225791,-1.559674
12,51912,47.222213,-1.556585
12,51921,47.222213,-1.556585
12,51922,47.221526,-1.556033
12,51931,47.221526,-1.556033
12,51932,47.219769,-1.555633
12,51941,47.219769,-1.555633
12,51942,47.218053,-1.557243
12,51951,47.218053,-1.557243
12,51952,47.216669,-1.556843
12,51961,47.216669,-1.556843
12,51962,47.214461,-1.555743
12,51971,47.214461,-1.555743
12,51972,47.212325,-1.552970
12,51981,47.212325,-1.552970
12,51982,47.214134,-1.548953
12,51991,47.214134,-1.548953
12,51992,47.215956,-1.544871
12,52001,47.215956,-1.544871
12,52002,47.215932,-1.541769
13,4391,47.224398,-1.520206
13,4392,47.226473,-1.523471
13,4401,47.226473,-1.523471
13,4402,47.227812,-1.525325
13,4411,47.227812,-1.525325
13,4412,47.230100,-1.528497
13,4421,47.230100,-1.528497
13,4422,47.231629,-1.530628
13,4431,47.231629,-1.530628
13,4432,47.234029,-1.536501
13,4441,47.234029,-1.536501
13,4442,47.234650,-1.540958
13,4451,47.234650,-1.540958
13,4452,47.235529,-1.547732
13,4461,47.235529,-1.547732
13,4462,47.235284,-1.549655
13,4471,47.235284,-1.549655
13,4472,47.234265,-1.553079
13,4481,47.234265,-1.553079
13,4482,47.233639,-1.555515
13,4491,47.233639,-1.555515
13,4492,47.234512,-1.557390
13,4501,47.234512,-1.557390
13,4502,47.233466,-1.559914
13,4511,47.233466,-1.559914
13,4512,47.233143,-1.566308
13,4521,47.233143,-1.566308
13,4522,47.231976,-1.568249
13,4531,47.231976,-1.568249
13,4532,47.229968,-1.571819
13,4541,47.229968,-1.571819
13,4542,47.228801,-1.576632
13,4551,47.228801,-1.576632
13,4552,47.228022,-1.580695
13,4561,47.228022,-1.580695
13,4562,47.226722,-1.582948
13,4571,47.226722,-1.582948
13,4572,47.222781,-1.585177
13,4581,47.222781,-1.585177
13,4582,47.219953,-1.586780
13,4591,47.219953,-1.586780
13,4592,47.217163,-1.587467
13,4601,47.217163,-1.587467
13,4602,47.213773,-1.586105
13,4611,47.213773,-1.586105
13,4612,47.211412,-1.586597
13,4621,47.211412,-1.586597
13,4622,47.209341,-1.587104
13,4631,47.209341,-1.587104
13,4632,47.206322,-1.587851
13,4641,47.206322,-1.587851
13,4642,47.203259,-1.588597
13,4651,47.203259,-1.588597
13,4652,47.200546,-1.589282
13,4661,47.200546,-1.589282
13,4662,47.198272,-1.589191
13,4671,47.198272,-1.589191
13,4672,47.197915,-1.593612
14,4691,47.197774,-1.593400
14,4692,47.198185,-1.588932
14,4701,47.198185,-1.588932
14,4702,47.199468,-1.588977
14,4711,47.199468,-1.588977
14,4712,47.204218,-1.588275
14,4721,47.204218,-1.588275
14,4722,47.207147,-1.587520
14,4731,47.207147,-1.587520
14,4732,47.208413,-1.587221
14,4741,47.208413,-1.587221
14,4742,47.211532,-1.586454
14,4751,47.211532,-1.586454
14,4752,47.215084,-1.586270
14,4761,47.215084,-1.586270
14,4762,47.217309,-1.587433
14,4771,47.217309,-1.587433
14,4772,47.220660,-1.586255
14,4781,47.220660,-1.586255
14,4782,47.222751,-1.585042
14,4791,47.222751,-1.585042
14,4792,47.226174,-1.583122
14,4801,47.226174,-1.583122
14,4802,47.227965,-1.580547
14,4811,47.227965,-1.580547
14,4812,47.229063,-1.574693
14,4821,47.229063,-1.574693
14,4822,47.229776,-1.571865
14,4831,47.229776,-1.571865
14,4832,47.231470,-1.568891
14,4841,47.231470,-1.568891
14,4842,47.233078,-1.566055
14,4851,47.233078,-1.566055
14,4852,47.233378,-1.559972
14,4861,47.233378,-1.559972
14,4862,47.234537,-1.557068
14,4871,47.234537,-1.557068
14,4872,47.233150,-1.555406
14,4881,47.233150,-1.555406
14,4882,47.234280,-1.552832
14,4891,47.234280,-1.552832
14,4892,47.235135,-1.549601
14,4901,47.235135,-1.549601
14,4902,47.235363,-1.547544
14,4911,47.235363,-1.547544
14,4912,47.234392,-1.540088
14,4921,47.234392,-1.540088
14,4922,47.233651,-1.534743
14,4931,47.233651,-1.534743
14,4932,47.232061,-1.531378
14,4941,47.232061,-1.531378
14,4942,47.230455,-1.529163
14,4951,47.230455,-1.529163
14,4952,47.228870,-1.526949
14,4961,47.228870,-1.526949
14,4962,47.226054,-1.523045
14,4971,47.226054,-1.523045
14,4972,47.224398,-1.520206
15,48961,47.238014,-1.586556
15,48962,47.238180,-1.585758
15,48971,47.238180,-1.585758
15,48972,47.239667,-1.584649
15,48981,47.239667,-1.584649
15,48982,47.239640,-1.578116
15,48991,47.239640,-1.578116
15,48992,47.239582,-1.571614
15,49001,47.239582,-1.571614
15,49002,47.238639,-1.570664
15,49011,47.238639,-1.570664
15,49012,47.236079,-1.568262
15,49021,47.236079,-1.568262
15,49022,47.232475,-1.565289
15,49031,47.232475,-1.565289
15,49032,47.229978,-1.563178
15,49041,47.229978,-1.563178
15,49042,47.228243,-1.561762
15,49051,47.228243,-1.561762
15,49052,47.225791,-1.559674
15,49061,47.225791,-1.559674
15,49062,47.222213,-1.556585
15,49071,47.222213,-1.556585
15,49072,47.221526,-1.556033
15,49081,47.221526,-1.556033
15,49082,47.219769,-1.555633
15,49091,47.219769,-1.555633
15,49092,47.218053,-1.557243
15,49101,47.218053,-1.557243
15,49102,47.217756,-1.554252
15,49111,47.217756,-1.554252
15,49112,47.218069,-1.551758
15,49121,47.218069,-1.551758
15,49122,47.218778,-1.550488
15,49131,47.218778,-1.550488
15,49132,47.220182,-1.546885
15,49141,47.220182,-1.546885
15,49142,47.221691,-1.542809
15,49151,47.221691,-1.542809
15,49152,47.223580,-1.538367
15,49161,47.223580,-1.538367
15,49162,47.225540,-1.537349
15,49171,47.225540,-1.537349
15,49172,47.227083,-1.532712
15,49181,47.227083,-1.532712
15,49182,47.225505,-1.529183
15,49191,47.225505,-1.529183
15,49192,47.228240,-1.526524
15,49201,47.228240,-1.526524
15,49202,47.226054,-1.523045
15,49211,47.226054,-1.523045
15,49212,47.227001,-1.518714
15,49221,47.227001,-1.518714
