route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
06E_1,FULLW,06E_1_AM_3,,,,
06E_1,FULLW,06E_1_AM_4,,,,
06E_1,FULLW,06E_1_AM_5,,,,
06E_1,FULLW,06E_1_AM_6,,,,
06E_1,FULLW,06E_1_AM_7,,,,
06E_2,FULLW,06E_2_AM_1,,,,
06E_2,FULLW,06E_2_AM_2,,,,
06E_2,FULLW,06E_2_AM_3,,,,
06E_2,FULLW,06E_2_AM_4,,,,
06E_2,FULLW,06E_2_AM_5,,,,
07_1,FULLW,07_1_AM_1,,,,
07_1,FULLW,07_1_AM_2,,,,
07_1,FULLW,07_1_AM_3,,,,
07_1,FULLW,07_1_AM_4,,,,
07_1,FULLW,07_1_AM_5,,,,
07_1,FULLW,07_1_AM_6,,,,
07_1,FULLW,07_1_AM_7,,,,
07_1,FULLW,07_1_AM_8,,,,
07_1,FULLW,07_1_AM_9,,,,
07_1,FULLW,07_1_AM_10,,,,
07_1,FULLW,07_1_AM_11,,,,
07_1,FULLW,07_1_AM_12,,,,
07_1,FULLW,07_1_AM_13,,,,
07_1,FULLW,07_1_AM_14,,,,
07_1,FULLW,07_1_AM_15,,,,
07_1,FULLW,07_1_AM_16,,,,
07_1,FULLW,07_1_AM_17,,,,
07_1,FULLW,07_1_AM_18,,,,
07_1,FULLW,07_1_AM_19,,,,
07_1,FULLW,07_1_AM_20,,,,
07_1,FULLW,07_1_AM_21,,,,
07_2,FULLW,07_2_AM_1,,,,
07_2,FULLW,07_2_AM_2,,,,
07_2,FULLW,07_2_AM_3,,,,
07_2,FULLW,07_2_AM_4,,,,
07_2,FULLW,07_2_AM_5,,,,
07_2,FULLW,07_2_AM_6,,,,
07_2,FULLW,07_2_AM_7,,,,
07_2,FULLW,07_2_AM_8,,,,
07_2,FULLW,07_2_AM_9,,,,
07_2,FULLW,07_2_AM_10,,,,
07_2,FULLW,07_2_AM_11,,,,
07_2,FULLW,07_2_AM_12,,,,
07_2,FULLW,07_2_AM_13,,,,
07_2,FULLW,07_2_AM_14,,,,
07_2,FULLW,07_2_AM_15,,,,
07_2,FULLW,07_2_AM_16,,,,
07_2,FULLW,07_2_AM_17,,,,
07_2,FULLW,07_2_AM_18,,,,
07_2,FULLW,07_2_AM_19,,,,
07_2,FULLW,07_2_AM_20,,,,
07_2,FULLW,07_2_AM_21,,,,
08A_1,FULLW,08A_1_AM_1,,,,
08A_1,FULLW,08A_1_AM_2,,,,
08A_1,FULLW,08A_1_AM_3,,,,
08A_1,FULLW,08A_1_AM_4,,,,
08A_1,FULLW,08A_1_AM_5,,,,
08A_1,FULLW,08A_1_AM_6,,,,
08A_1,FULLW,08A_1_AM_7,,,,
08A_1,FULLW,08A_1_AM_8,,,,
08A_1,FULLW,08A_1_AM_9,,,,
08A_1,FULLW,08A_1_AM_10,,,,
08A_1,FULLW,08A_1_AM_11,,,,
08A_1,FULLW,08A_1_AM_12,,,,
08A_1,FULLW,08A_1_AM_13,,,,
08A_1,FULLW,08A_1_AM_14,,,,
08A_1,FULLW,08A_1_AM_15,,,,
08A_1,FULLW,08A_1_AM_16,,,,
08A_1,FULLW,08A_1_AM_17,,,,
08A_1,FULLW,08A_1_AM_18,,,,
08A_1,FULLW,08A_1_AM_19,,,,
08A_2,FULLW,08A_2_AM_1,,,,
08A_2,FULLW,08A_2_AM_2,,,,
08A_2,FULLW,08A_2_AM_3,,,,
08A_2,FULLW,08A_2_AM_4,,,,
08A_2,FULLW,08A_2_AM_5,,,,
08A_2,FULLW,08A_2_AM_6,,,,
08A_2,FULLW,08A_2_AM_7,,,,
08A_2,FULLW,08A_2_AM_8,,,,
08A_2,FULLW,08A_2_AM_9,,,,
08A_2,FULLW,08A_2_AM_10,,,,
08A_2,FULLW,08A_2_AM_11,,,,
08A_2,FULLW,08A_2_AM_12,,,,
08A_2,FULLW,08A_2_AM_13,,,,
08A_2,FULLW,08A_2_AM_14,,,,
08A_2,FULLW,08A_2_AM_15,,,,
08A_2,FULLW,08A_2_AM_16,,,,
08A_2,FULLW,08A_2_AM_17,,,,
08A_2,FULLW,08A_2_AM_18,,,,
08A_2,FULLW,08A_2_AM_19,,,,
08B_1,FULLW,08B_1_AM_1,,,,
08B_1,FULLW,08B_1_AM_2,,,,
08B_1,FULLW,08B_1_AM_3,,,,
08B_1,FULLW,08B_1_AM_4,,,,
08B_1,FULLW,08B_1_AM_5,,,,
08B_1,FULLW,08B_1_AM_6,,,,
08B_1,FULLW,08B_1_AM_7,,,,
08B_1,FULLW,08B_1_AM_8,,,,
08B_1,FULLW,08B_1_AM_9,,,,
08B_1,FULLW,08B_1_AM_10,,,,
08B_2,FULLW,08B_2_AM_1,,,,
08B_2,FULLW,08B_2_AM_2,,,,
08B_2,FULLW,08B_2_AM_3,,,,
08B_2,FULLW,08B_2_AM_4,,,,
08B_2,FULLW,08B_2_AM_5,,,,
08B_2,FULLW,08B_2_AM_6,,,,
08B_2,FULLW,08B_2_AM_7,,,,
08B_2,FULLW,08B_2_AM_8,,,,
08B_2,FULLW,08B_2_AM_9,,,,
08B_2,FULLW,08B_2_AM_10,,,,
09_1,FULLW,09_1_AM_1,,,,
09_1,FULLW,09_1_AM_2,,,,
09_1,FULLW,09_1_AM_3,,,,
09_1,FULLW,09_1_AM_4,,,,
09_1,FULLW,09_1_AM_5,,,,
09_1,FULLW,09_1_AM_6,,,,
09_1,FULLW,09_1_AM_7,,,,
09_1,FULLW,09_1_AM_8,,,,
09_1,FULLW,09_1_AM_9,,,,
09_1,FULLW,09_1_AM_10,,,,
09_1,FULLW,09_1_AM_11,,,,
09_1,FULLW,09_1_AM_12,,,,
09_1,FULLW,09_1_AM_13,,,,
09_1,FULLW,09_1_AM_14,,,,
09_1,FULLW,09_1_AM_15,,,,
09_1,FULLW,09_1_AM_16,,,,
09_1,FULLW,09_1_AM_17,,,,
09_1,FULLW,09_1_AM_18,,,,
09_1,FULLW,09_1_AM_19,,,,
09_2,FULLW,09_2_AM_1,,,,
09_2,FULLW,09_2_AM_2,,,,
09_2,FULLW,09_2_AM_3,,,,
09_2,FULLW,09_2_AM_4,,,,
09_2,FULLW,09_2_AM_5,,,,
09_2,FULLW,09_2_AM_6,,,,
09_2,FULLW,09_2_AM_7,,,,
09_2,FULLW,09_2_AM_8,,,,
09_2,FULLW,09_2_AM_9,,,,
09_2,FULLW,09_2_AM_10,,,,
09_2,FULLW,09_2_AM_11,,,,
09_2,FULLW,09_2_AM_12,,,,
09_2,FULLW,09_2_AM_13,,,,
09_2,FULLW,09_2_AM_14,,,,
09_2,FULLW,09_2_AM_15,,,,
09_2,FULLW,09_2_AM_16,,,,
09_2,FULLW,09_2_AM_17,,,,
09_2,FULLW,09_2_AM_18,,,,
09_2,FULLW,09_2_AM_19,,,,
10A_1,FULLW,10A_1_AM_1,,,,
10A_1,FULLW,10A_1_AM_2,,,,
10A_1,FULLW,10A_1_AM_3,,,,
10A_1,FULLW,10A_1_AM_4,,,,
10A_1,FULLW,10A_1_AM_5,,,,
10A_1,FULLW,10A_1_AM_6,,,,
10A_1,FULLW,10A_1_AM_7,,,,
10A_1,FULLW,10A_1_AM_8,,,,
10A_1,FULLW,10A_1_AM_9,,,,
10A_1,FULLW,10A_1_AM_10,,,,
10A_1,FULLW,10A_1_AM_11,,,,
10A_1,FULLW,10A_1_AM_12,,,,
10A_1,FULLW,10A_1_AM_13,,,,
10A_1,FULLW,10A_1_AM_14,,,,
10A_1,FULLW,10A_1_AM_15,,,,
10A_1,FULLW,10A_1_AM_16,,,,
10A_1,FULLW,10A_1_AM_17,,,,
10A_1,FULLW,10A_1_AM_18,,,,
10A_1,FULLW,10A_1_AM_19,,,,
10A_2,FULLW,10A_2_AM_1,,,,
10A_2,FULLW,10A_2_AM_2,,,,
10A_2,FULLW,10A_2_AM_3,,,,
10A_2,FULLW,10A_2_AM_4,,,,
10A_2,FULLW,10A_2_AM_5,,,,
10A_2,FULLW,10A_2_AM_6,,,,
10A_2,FULLW,10A_2_AM_7,,,,
10A_2,FULLW,10A_2_AM_8,,,,
10A_2,FULLW,10A_2_AM_9,,,,
10A_2,FULLW,10A_2_AM_10,,,,
10A_2,FULLW,10A_2_AM_11,,,,
10A_2,FULLW,10A_2_AM_12,,,,
10A_2,FULLW,10A_2_AM_13,,,,
10A_2,FULLW,10A_2_AM_14,,,,
10A_2,FULLW,10A_2_AM_15,,,,
10A_2,FULLW,10A_2_AM_16,,,,
10A_2,FULLW,10A_2_AM_17,,,,
10A_2,FULLW,10A_2_AM_18,,,,
10A_2,FULLW,10A_2_AM_19,,,,
10B_1,FULLW,10B_1_AM_1,,,,
10B_1,FULLW,10B_1_AM_2,,,,
10B_1,FULLW,10B_1_AM_3,,,,
10B_1,FULLW,10B_1_AM_4,,,,
