shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4211104,47.171858,-1.467058,19932
4211104,47.171858,-1.467058,19941
4211104,47.175519,-1.465097,19942
4211104,47.175519,-1.465097,19951
4211104,47.178422,-1.469727,19952
4211104,47.178422,-1.469727,19961
4211104,47.182060,-1.469869,19962
4211104,47.182060,-1.469869,19971
4211104,47.184110,-1.470254,19972
4211104,47.184110,-1.470254,19981
4211104,47.183679,-1.473045,19982
4211104,47.183679,-1.473045,19991
4211104,47.184073,-1.475782,19992
4211104,47.184073,-1.475782,20001
4211104,47.185902,-1.476616,20002
4211104,47.185902,-1.476616,20011
4211104,47.187100,-1.478505,20012
4211104,47.187100,-1.478505,20021
4211104,47.187569,-1.484880,20022
4211104,47.187569,-1.484880,20031
4211104,47.187887,-1.489603,20032
4211104,47.187887,-1.489603,20041
4211104,47.188340,-1.496242,20042
4211104,47.188340,-1.496242,20051
4211104,47.188608,-1.500387,20052
4211104,47.188608,-1.500387,20061
4211104,47.188921,-1.505350,20062
4211104,47.188921,-1.505350,20071
4211104,47.189154,-1.508984,20072
4211104,47.189154,-1.508984,20081
4211104,47.189672,-1.516612,20082
4211104,47.189672,-1.516612,20091
4211104,47.186375,-1.522291,20092
4211104,47.186375,-1.522291,20101
4211104,47.184924,-1.524665,20102
4211104,47.184924,-1.524665,20111
4211104,47.186824,-1.528338,20112
4211104,47.186824,-1.528338,20121
4211104,47.188592,-1.531125,20122
4211104,47.188592,-1.531125,20131
4211104,47.190144,-1.533006,20132
4211104,47.190144,-1.533006,20141
4211104,47.192208,-1.535014,20142
4211104,47.192208,-1.535014,20151
4211104,47.196153,-1.537871,20152
4211104,47.196153,-1.537871,20161
4211104,47.195986,-1.542952,20162
4210108,47.195986,-1.542952,20181
4210108,47.193870,-1.537531,20182
4210108,47.193870,-1.537531,20191
4210108,47.191513,-1.534573,20192
4210108,47.191513,-1.534573,20201
4210108,47.190028,-1.532998,20202
4210108,47.190028,-1.532998,20211
